date,name
2020-04-20,Schedule of Classes available online
2020-05-04,Pre-term registration begins
2020-06-22,Online grading opens for faculty
2020-06-22,Classes begin (first 4-week session)
2020-07-03,Independence Day (University Closed)
2020-07-05,Last day to waive student health insurance
2020-07-05,Last day to adjust enrollment for financial aid purposes
2020-07-06,Last day to pay account balance in full or enroll in the payment plan and pay 1st installment to avoid $100 late fee
2020-07-19,Classes end (first 4-week session)
2020-07-20,Classes begin (second 4-week session)
2020-07-21,1-4 Week Courses: Online grading closes at 5:00 p.m
2020-07-22,1-4 Week Courses: Students may view grades online
2020-07-30,Eid al-Adha begins
2020-07-31,Eid al-Adha ends
2020-08-06,Last day to pay 2nd payment plan installment to avoid $100 late fee
2020-08-11,Janmashtami
2020-08-14,Last day to clear academic deficiencies for graduation
2020-08-15,Date of Summer 2020 Degree Conferral
2020-08-15,Assumption
2020-08-16,Classes end (second 4-week session)
2020-08-18,5-8 Week Courses: Deadline for submitting final grades. Online grading closes at 5:00 p.m.
2020-08-19,Muharram (Al Hijrah New Year)
2020-08-19,5-8 Week Courses: Students may view grades online
2020-09-01,9-10 Week Courses: Deadline for submitting final grades. Online grading closes at 5:00 p.m.
2020-09-02,9-10 Week Courses: Students may view grades online
2020-09-06,Last day to pay 3rd payment plan installment to avoid $100 late fee
2020-09-07,Labor Day (University Closed)
2020-09-13,Classes end (12-week session)
2020-09-22,11-13 Week Courses: Deadline for submitting final grades. Online grading closes at 5:00 p.m.
2020-09-23,11-13 Week Courses: Students may view grades online
2020-04-27,Schedule of Classes available online
2020-05-11,Priority Registration - Continuing Graduates
2020-05-13,Priority Registration - Continuing Seniors
2020-05-18,Priority Registration - Continuing Postbacs
2020-05-20,Priority Registration - Continuing Juniors
2020-05-26,Priority Registration - Continuing Sophomores
2020-05-28,Priority Registration - Continuing Freshman
2020-06-01,Priority Registration - Graduates - Newly Admitted Starting Fall
2020-06-01,Priority Registration - Graduates - Newly Admitted Starting Summer
2020-06-03,Priority Registration - Postbacs - Newly Admitted Starting Fall
2020-06-03,Priority Registration - Postbac & Undergrad - Newly Admitted Starting Summer
2020-09-08,Priority Registration - All Non-Degree Students
2020-09-18,Rosh Hashanah Begins
2020-09-20,Rosh Hashanah Ends
2020-09-27,Yom Kippur Begins
2020-09-28,Yom Kippur Ends
2020-09-28,Classes Begin
2020-10-02,Sukkot Begins
2020-10-04,Last day to add courses online
2020-10-04,Sukkot Ends
2020-10-06,Last day to pay account balance in full or enroll in the payment plan and pay 1st installment to avoid $100 late fee
2020-10-09,Shmini Atzeret Begins
2020-10-09,Last day to add with instructor approval
2020-10-10,Simchat Torah Begins
